State,Year,Population,Water.Access,Birth.Rate,Corruption.Convictions,Grain.Yields,HDI,Percent.Irrigated,Rural.Bank.Branches,Capex,Credit.by.SCBs,Credit.Deposit.Ratio,Credit.to.Ag,Credit.to.Industry,Gross.Fixed.Capital.Formation,Km.Highways,Infant.Mortality.Rate,Literacy.Rate,Per.Capita.Elec.Cons,Personal.Loans.by.SCBs,Percentage.BPL,Total.Registered.Vehicles,Approx.Life.Expectancy,GSDP.Base.1980,Percentage.Ag.Share.GDP,Share.Rural.Pop,Social.Expenditure,Gross.Fiscal.Deficit,,
All.India,1981,683329000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.57,NA,NA,NA,NA,NA,NA,NA,0.766639496,NA,NA,,
All.India,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.48,NA,NA,NA,NA,NA,NA,NA,,
All.India,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.86,NA,NA,NA,NA,NA,NA,NA,,
All.India,1990,NA,NA,30.2,NA,1380,NA,NA,14532,193.1,1043,60.7,166.12,507.17,242925.9,NA,NA,NA,NA,66.95,NA,NA,NA,NA,NA,NA,NA,NA,,
All.India,1991,846421000,NA,29.5,NA,1382,NA,0.340278451,14519,217.4,1242,61.9,185.41,589.64,306101.4,33650,NA,52.21,270,96.07,NA,21374200,60.3,NA,NA,0.742958882,351.3,187.9,,
All.India,1992,NA,NA,29.2,NA,1457,NA,0.360401885,14574,231.3,1367,57.7,202.22,651.8,360410.4,33666,NA,NA,283,109.83,NA,23507371,60.3,NA,NA,NA,392.6,189,,
All.India,1993,NA,NA,28.7,NA,1501,NA,0.359668782,14567,249.8,1625,58.9,220.66,788.47,272234.6,33916,NA,NA,299,135.46,NA,25299024,60.3,NA,NA,NA,444.7,208.9,,
All.India,1994,NA,NA,28.7,NA,1546,NA,0.365786865,14561,321.4,1759,54.3,228.37,845.73,595224.7,34249,NA,NA,320,151.93,35.97,NA,60.3,NA,NA,NA,494.5,203.6,,
All.India,1995,NA,NA,28.3,NA,1491,NA,0.375670689,14536,315.1,2109,55.6,249,961.63,691198.7,34262,NA,NA,336,188.6,NA,30295000,61.5,NA,NA,NA,551.4,273.1,,
All.India,1996,NA,NA,27.5,NA,1605,NA,0.380602867,14516,323.4,2547,59.8,288,1209.27,799365.9,34508,NA,NA,334,235.6,NA,33786000,61.5,NA,NA,NA,639.8,308.7,,
All.India,1997,NA,NA,27.2,NA,1550,NA,0.401188378,14513,396.1,2844,56.8,316.67,1367.34,717723.9,34849,71,NA,348.5,282.04,NA,37332000,61.5,NA,NA,NA,719,365.6,,
All.India,1998,NA,NA,26.5,NA,1627,NA,0.398288313,14471,441.7,3299,55.3,351.98,1610,690708.1,38517,72,NA,360.01,347.3,NA,41367000,61.5,NA,NA,NA,814.3,434.7,,
All.India,1999,NA,NA,26.1,NA,1704,NA,0.41049001,14475,505,3824,54.8,408.78,1879.3,486788.2,49585,70,NA,364.45,395.7,NA,44875000,63.4,NA,NA,NA,981.3,733,,
All.India,2000,NA,NA,25.8,NA,1626,0.387,0.420476019,14462,520.1,4601,56,454.96,2149.8,468792.7,52010,68,NA,366.12,516.2,26.1,48857000,63.4,NA,NA,NA,1136.9,901,,
All.India,2001,1028737000,NA,25.4,NA,1734,NA,0.411066149,14431,588.6,5384,56.7,514,2364,701514.5,57737,66,64.84,360.97,655,NA,54991000,63.4,NA,NA,0.721873521,1249.2,879.2,,
All.India,2002,NA,NA,25,NA,1535,NA,0.41683598,14486,794,6560,58.4,641,2716,474542.4,58112,63,NA,373,825,NA,58924000,63.4,NA,NA,NA,1292.5,942.6,,
All.India,2003,NA,NA,24.8,NA,1727,NA,0.420124332,14462,1417.1,7560,59.2,760,3098,575338,58112,60,NA,390.03,1139,NA,67007000,65,NA,NA,NA,1336.5,997.3,,
All.India,2004,NA,NA,24.1,NA,1652,NA,0.411481538,14484,1507.6,8803,58.2,961,3348,752504.6,65569,58,NA,625.49,1788,NA,72718000,65,NA,NA,NA,1461.6,1206.3,,
All.India,2005,NA,NA,23.8,NA,1715,NA,0.424263355,14433,1236.5,11525,66,1244,4469,1260767.4,65569,58,NA,631.41,2560,37.2,81502000,65,NA,NA,NA,1640.8,1077.7,,
All.India,2006,NA,NA,23.5,NA,1756,NA,0.437279817,14372,1515.8,15138,72.4,1727,5662,1443250,65569,57,NA,671.89,3532,NA,89618000,65,NA,NA,NA,1894.3,900.8,,
All.India,2007,NA,NA,23.1,NA,1860,NA,0.4509437,14422,1715.2,19471,75,2302,7419,1777909.8,66590,55,NA,717.13,4336,NA,96707000,66.5,NA,NA,NA,2229.9,775.1,,
All.India,2008,NA,NA,22.8,NA,1909,0.467,0.451063655,14558,2003.5,24170,74.4,2741,9285,2259470.1,66754,53,NA,733.54,4854,NA,105353000,66.5,NA,NA,NA,2654.7,754.5,,
All.India,2009,NA,NA,22.5,NA,1798,NA,0.455111402,15010,2161.8,28477,72.6,3095,11344,2683006.8,70548,50,NA,778.63,5535,NA,114951000,66.5,NA,NA,NA,3315.4,1345.9,,
All.India,2010,NA,NA,22.1,NA,1930,NA,0.450180421,15303,2264.3,33452,73.3,3903,13552,2836554.7,70934,47,NA,818.75,5589,29.8,127746000,66.5,NA,NA,NA,3929.4,1888.2,,
All.India,2011,1210855000,NA,21.8,NA,2078,NA,0.449917242,15658,2770.4,40756,75.6,4610,16121,3438238,69227,44,74.04,884,6701,NA,141866000,66.5,NA,NA,0.688326018,4519.4,1614.6,,
All.India,2012,NA,NA,21.6,NA,2129,NA,0.46889057,16170,3025.5,48033,79,5619,19420,3575262.1,76818,42,NA,914.41,7502,21.92,159491000,NA,NA,NA,NA,5235.7,1683.5,,
